"year","month","speed_bin","frequency","percent_frequency"
"2010","1","2010-January","1152","39.01"
"2010","1","2010-January","798","27.02"
"2010","1","2010-January","567","19.20"
"2010","1","2010-January","234","7.92"
"2010","1","2010-January","161","5.45"
"2010","1","2010-January","38","1.29"
"2010","1","2010-January","3","0.10"
"2010","3","2010-March","851","40.76"
"2010","3","2010-March","658","31.51"
"2010","3","2010-March","379","18.15"
"2010","3","2010-March","123","5.89"
"2010","3","2010-March","54","2.59"
"2010","3","2010-March","20","0.96"
"2010","3","2010-March","2","0.10"
"2010","3","2010-March","1","0.05"
"2010","4","2010-April","2760","31.94"
"2010","4","2010-April","2576","29.81"
"2010","4","2010-April","1837","21.26"
"2010","4","2010-April","945","10.94"
"2010","4","2010-April","430","4.98"
"2010","4","2010-April","86","1.00"
"2010","4","2010-April","6","0.07"
"2010","5","2010-May","2818","31.56"
"2010","5","2010-May","3204","35.89"
"2010","5","2010-May","2034","22.78"
"2010","5","2010-May","694","7.77"
"2010","5","2010-May","151","1.69"
"2010","5","2010-May","23","0.26"
"2010","5","2010-May","4","0.04"
"2010","6","2010-June","3700","42.82"
"2010","6","2010-June","3317","38.39"
"2010","6","2010-June","1213","14.04"
"2010","6","2010-June","325","3.76"
"2010","6","2010-June","70","0.81"
"2010","6","2010-June","11","0.13"
"2010","6","2010-June","3","0.03"
"2010","6","2010-June","1","0.01"
"2010","7","2010-July","3882","43.48"
"2010","7","2010-July","3058","34.25"
"2010","7","2010-July","1325","14.84"
"2010","7","2010-July","348","3.90"
"2010","7","2010-July","156","1.75"
"2010","7","2010-July","91","1.02"
"2010","7","2010-July","26","0.29"
"2010","7","2010-July","15","0.17"
"2010","7","2010-July","16","0.18"
"2010","7","2010-July","6","0.07"
"2010","7","2010-July","4","0.04"
"2010","7","2010-July","1","0.01"
"2010","8","2010-August","3464","38.80"
"2010","8","2010-August","3205","35.90"
"2010","8","2010-August","1720","19.27"
"2010","8","2010-August","436","4.88"
"2010","8","2010-August","85","0.95"
"2010","8","2010-August","15","0.17"
"2010","8","2010-August","2","0.02"
"2010","9","2010-September","4194","48.54"
"2010","9","2010-September","2874","33.26"
"2010","9","2010-September","1214","14.05"
"2010","9","2010-September","280","3.24"
"2010","9","2010-September","55","0.64"
"2010","9","2010-September","17","0.20"
"2010","9","2010-September","6","0.07"
"2010","10","2010-October","5300","59.36"
"2010","10","2010-October","2078","23.28"
"2010","10","2010-October","1043","11.68"
"2010","10","2010-October","330","3.70"
"2010","10","2010-October","135","1.51"
"2010","10","2010-October","39","0.44"
"2010","10","2010-October","3","0.03"
"2010","11","2010-November","5195","60.13"
"2010","11","2010-November","2399","27.77"
"2010","11","2010-November","858","9.93"
"2010","11","2010-November","148","1.71"
"2010","11","2010-November","31","0.36"
"2010","11","2010-November","6","0.07"
"2010","11","2010-November","3","0.03"
"2010","12","2010-December","5434","60.86"
"2010","12","2010-December","2304","25.81"
"2010","12","2010-December","875","9.80"
"2010","12","2010-December","272","3.05"
"2010","12","2010-December","42","0.47"
"2010","12","2010-December","1","0.01"
"2011","1","2011-January","1","100.00"
