"year","month","year_month","day","cardinal_direction","speed_bin","count_speed_bin","count_total","cumulative_percent"
"2010","1","2010-January","16","E",2,"3","6","50.000"
"2010","1","2010-January","16","E",3,"3","6","100.000"
"2010","1","2010-January","16","N",1,"3","106","2.830"
"2010","1","2010-January","16","N",2,"36","106","36.792"
"2010","1","2010-January","16","N",3,"38","106","72.642"
"2010","1","2010-January","16","N",4,"12","106","83.962"
"2010","1","2010-January","16","N",5,"14","106","97.170"
"2010","1","2010-January","16","N",6,"3","106","100.000"
"2010","1","2010-January","16","NE",1,"1","48","2.083"
"2010","1","2010-January","16","NE",2,"8","48","18.750"
"2010","1","2010-January","16","NE",3,"14","48","47.917"
"2010","1","2010-January","16","NE",4,"9","48","66.667"
"2010","1","2010-January","16","NE",5,"14","48","95.833"
"2010","1","2010-January","16","NE",6,"2","48","100.000"
"2010","1","2010-January","16","NW",1,"1","1","100.000"
"2010","1","2010-January","16","SE",1,"1","1","100.000"
"2010","1","2010-January","17","N",1,"9","222","4.054"
"2010","1","2010-January","17","N",2,"60","222","31.081"
"2010","1","2010-January","17","N",3,"94","222","73.423"
"2010","1","2010-January","17","N",4,"40","222","91.441"
"2010","1","2010-January","17","N",5,"18","222","99.550"
"2010","1","2010-January","17","N",6,"1","222","100.000"
"2010","1","2010-January","17","NE",1,"3","62","4.839"
"2010","1","2010-January","17","NE",2,"22","62","40.323"
"2010","1","2010-January","17","NE",3,"22","62","75.806"
"2010","1","2010-January","17","NE",4,"12","62","95.161"
"2010","1","2010-January","17","NE",5,"3","62","100.000"
"2010","1","2010-January","17","NW",1,"2","4","50.000"
"2010","1","2010-January","17","NW",2,"2","4","100.000"
"2010","1","2010-January","18","E",1,"8","18","44.444"
"2010","1","2010-January","18","E",2,"5","18","72.222"
"2010","1","2010-January","18","E",3,"3","18","88.889"
"2010","1","2010-January","18","E",4,"2","18","100.000"
"2010","1","2010-January","18","N",1,"30","109","27.523"
"2010","1","2010-January","18","N",2,"54","109","77.064"
"2010","1","2010-January","18","N",3,"25","109","100.000"
"2010","1","2010-January","18","NE",1,"15","31","48.387"
"2010","1","2010-January","18","NE",2,"11","31","83.871"
"2010","1","2010-January","18","NE",3,"5","31","100.000"
"2010","1","2010-January","18","NW",1,"35","42","83.333"
"2010","1","2010-January","18","NW",2,"6","42","97.619"
"2010","1","2010-January","18","NW",3,"1","42","100.000"
"2010","1","2010-January","18","S",1,"7","15","46.667"
"2010","1","2010-January","18","S",2,"3","15","66.667"
"2010","1","2010-January","18","S",3,"3","15","86.667"
"2010","1","2010-January","18","S",4,"1","15","93.333"
"2010","1","2010-January","18","S",5,"1","15","100.000"
"2010","1","2010-January","18","SE",1,"8","31","25.806"
"2010","1","2010-January","18","SE",2,"10","31","58.065"
"2010","1","2010-January","18","SE",3,"8","31","83.871"
"2010","1","2010-January","18","SE",4,"5","31","100.000"
"2010","1","2010-January","18","SW",1,"10","10","100.000"
"2010","1","2010-January","18","W",1,"18","18","100.000"
"2010","1","2010-January","19","E",1,"10","121","8.264"
"2010","1","2010-January","19","E",2,"17","121","22.314"
"2010","1","2010-January","19","E",3,"35","121","51.240"
"2010","1","2010-January","19","E",4,"27","121","73.554"
"2010","1","2010-January","19","E",5,"25","121","94.215"
"2010","1","2010-January","19","E",6,"6","121","99.174"
"2010","1","2010-January","19","E",7,"1","121","100.000"
"2010","1","2010-January","19","N",1,"19","19","100.000"
"2010","1","2010-January","19","NE",1,"13","20","65.000"
"2010","1","2010-January","19","NE",2,"4","20","85.000"
"2010","1","2010-January","19","NE",3,"2","20","95.000"
"2010","1","2010-January","19","NE",5,"1","20","100.000"
"2010","1","2010-January","19","NW",1,"15","21","71.429"
"2010","1","2010-January","19","NW",2,"6","21","100.000"
"2010","1","2010-January","19","S",1,"6","8","75.000"
"2010","1","2010-January","19","S",2,"2","8","100.000"
"2010","1","2010-January","19","SE",1,"9","85","10.588"
"2010","1","2010-January","19","SE",2,"30","85","45.882"
"2010","1","2010-January","19","SE",3,"20","85","69.412"
"2010","1","2010-January","19","SE",4,"2","85","71.765"
"2010","1","2010-January","19","SE",5,"16","85","90.588"
"2010","1","2010-January","19","SE",6,"7","85","98.824"
"2010","1","2010-January","19","SE",7,"1","85","100.000"
"2010","1","2010-January","19","SW",1,"2","2","100.000"
"2010","1","2010-January","19","W",1,"7","7","100.000"
"2010","1","2010-January","20","E",1,"12","63","19.048"
"2010","1","2010-January","20","E",2,"28","63","63.492"
"2010","1","2010-January","20","E",3,"18","63","92.063"
"2010","1","2010-January","20","E",4,"2","63","95.238"
"2010","1","2010-January","20","E",5,"3","63","100.000"
"2010","1","2010-January","20","N",1,"14","19","73.684"
"2010","1","2010-January","20","N",2,"4","19","94.737"
"2010","1","2010-January","20","N",3,"1","19","100.000"
"2010","1","2010-January","20","NE",1,"13","29","44.828"
"2010","1","2010-January","20","NE",2,"14","29","93.103"
"2010","1","2010-January","20","NE",3,"2","29","100.000"
"2010","1","2010-January","20","NW",1,"11","11","100.000"
"2010","1","2010-January","20","S",1,"4","5","80.000"
"2010","1","2010-January","20","S",2,"1","5","100.000"
"2010","1","2010-January","20","SE",1,"10","130","7.692"
"2010","1","2010-January","20","SE",2,"54","130","49.231"
"2010","1","2010-January","20","SE",3,"35","130","76.154"
"2010","1","2010-January","20","SE",4,"18","130","90.000"
"2010","1","2010-January","20","SE",5,"9","130","96.923"
"2010","1","2010-January","20","SE",6,"4","130","100.000"
"2010","1","2010-January","20","SW",1,"10","10","100.000"
"2010","1","2010-January","20","W",1,"6","6","100.000"
"2010","1","2010-January","21","E",1,"38","52","73.077"
"2010","1","2010-January","21","E",2,"13","52","98.077"
"2010","1","2010-January","21","E",3,"1","52","100.000"
"2010","1","2010-January","21","N",1,"12","34","35.294"
"2010","1","2010-January","21","N",2,"5","34","50.000"
"2010","1","2010-January","21","N",3,"8","34","73.529"
"2010","1","2010-January","21","N",4,"9","34","100.000"
"2010","1","2010-January","21","NE",1,"19","55","34.545"
"2010","1","2010-January","21","NE",2,"9","55","50.909"
"2010","1","2010-January","21","NE",3,"13","55","74.545"
"2010","1","2010-January","21","NE",4,"12","55","96.364"
"2010","1","2010-January","21","NE",5,"2","55","100.000"
"2010","1","2010-January","21","NW",1,"11","21","52.381"
"2010","1","2010-January","21","NW",2,"6","21","80.952"
"2010","1","2010-January","21","NW",3,"3","21","95.238"
"2010","1","2010-January","21","NW",4,"1","21","100.000"
"2010","1","2010-January","21","S",1,"11","14","78.571"
"2010","1","2010-January","21","S",2,"1","14","85.714"
"2010","1","2010-January","21","S",3,"2","14","100.000"
"2010","1","2010-January","21","SE",1,"23","67","34.328"
"2010","1","2010-January","21","SE",2,"27","67","74.627"
"2010","1","2010-January","21","SE",3,"17","67","100.000"
"2010","1","2010-January","21","SW",1,"15","21","71.429"
"2010","1","2010-January","21","SW",2,"2","21","80.952"
"2010","1","2010-January","21","SW",3,"4","21","100.000"
"2010","1","2010-January","21","W",1,"10","16","62.500"
"2010","1","2010-January","21","W",2,"2","16","75.000"
"2010","1","2010-January","21","W",3,"4","16","100.000"
"2010","1","2010-January","22","E",1,"11","75","14.667"
"2010","1","2010-January","22","E",2,"4","75","20.000"
"2010","1","2010-January","22","E",3,"27","75","56.000"
"2010","1","2010-January","22","E",4,"19","75","81.333"
"2010","1","2010-January","22","E",5,"13","75","98.667"
"2010","1","2010-January","22","E",6,"1","75","100.000"
"2010","1","2010-January","22","N",1,"19","57","33.333"
"2010","1","2010-January","22","N",2,"32","57","89.474"
"2010","1","2010-January","22","N",3,"6","57","100.000"
"2010","1","2010-January","22","NE",1,"12","39","30.769"
"2010","1","2010-January","22","NE",2,"15","39","69.231"
"2010","1","2010-January","22","NE",3,"6","39","84.615"
"2010","1","2010-January","22","NE",4,"6","39","100.000"
"2010","1","2010-January","22","NW",1,"16","25","64.000"
"2010","1","2010-January","22","NW",2,"9","25","100.000"
"2010","1","2010-January","22","S",1,"11","13","84.615"
"2010","1","2010-January","22","S",2,"2","13","100.000"
"2010","1","2010-January","22","SE",1,"20","55","36.364"
"2010","1","2010-January","22","SE",2,"20","55","72.727"
"2010","1","2010-January","22","SE",3,"4","55","80.000"
"2010","1","2010-January","22","SE",4,"7","55","92.727"
"2010","1","2010-January","22","SE",5,"3","55","98.182"
"2010","1","2010-January","22","SE",6,"1","55","100.000"
"2010","1","2010-January","22","SW",1,"2","2","100.000"
"2010","1","2010-January","22","W",1,"7","7","100.000"
"2010","1","2010-January","23","E",1,"19","31","61.290"
"2010","1","2010-January","23","E",2,"9","31","90.323"
"2010","1","2010-January","23","E",3,"3","31","100.000"
"2010","1","2010-January","23","N",1,"5","10","50.000"
"2010","1","2010-January","23","N",2,"4","10","90.000"
"2010","1","2010-January","23","N",3,"1","10","100.000"
"2010","1","2010-January","23","NE",1,"7","26","26.923"
"2010","1","2010-January","23","NE",2,"14","26","80.769"
"2010","1","2010-January","23","NE",3,"5","26","100.000"
"2010","1","2010-January","23","NW",1,"12","20","60.000"
"2010","1","2010-January","23","NW",2,"7","20","95.000"
"2010","1","2010-January","23","NW",3,"1","20","100.000"
"2010","1","2010-January","23","S",1,"22","23","95.652"
"2010","1","2010-January","23","S",2,"1","23","100.000"
"2010","1","2010-January","23","SE",1,"20","56","35.714"
"2010","1","2010-January","23","SE",2,"31","56","91.071"
