"year","month","year_month","cardinal_direction","speed_bin","count_speed_bin","count_total","cumulative_percent"
"2010","1","2010-January","E",1,"137","494","27.733"
"2010","1","2010-January","E",2,"108","494","49.595"
"2010","1","2010-January","E",3,"134","494","76.721"
"2010","1","2010-January","E",4,"65","494","89.879"
"2010","1","2010-January","E",5,"42","494","98.381"
"2010","1","2010-January","E",6,"7","494","99.798"
"2010","1","2010-January","E",7,"1","494","100.000"
"2010","1","2010-January","N",1,"143","678","21.091"
"2010","1","2010-January","N",2,"238","678","56.195"
"2010","1","2010-January","N",3,"192","678","84.513"
"2010","1","2010-January","N",4,"66","678","94.248"
"2010","1","2010-January","N",5,"35","678","99.410"
"2010","1","2010-January","N",6,"4","678","100.000"
"2010","1","2010-January","NE",1,"116","476","24.370"
"2010","1","2010-January","NE",2,"117","476","48.950"
"2010","1","2010-January","NE",3,"107","476","71.429"
"2010","1","2010-January","NE",4,"65","476","85.084"
"2010","1","2010-January","NE",5,"55","476","96.639"
"2010","1","2010-January","NE",6,"15","476","99.790"
"2010","1","2010-January","NE",7,"1","476","100.000"
"2010","1","2010-January","NW",1,"173","244","70.902"
"2010","1","2010-January","NW",2,"65","244","97.541"
"2010","1","2010-January","NW",3,"5","244","99.590"
"2010","1","2010-January","NW",4,"1","244","100.000"
"2010","1","2010-January","S",1,"94","126","74.603"
"2010","1","2010-January","S",2,"22","126","92.063"
"2010","1","2010-January","S",3,"8","126","98.413"
"2010","1","2010-January","S",4,"1","126","99.206"
"2010","1","2010-January","S",5,"1","126","100.000"
"2010","1","2010-January","SE",1,"125","501","24.950"
"2010","1","2010-January","SE",2,"195","501","63.872"
"2010","1","2010-January","SE",3,"104","501","84.631"
"2010","1","2010-January","SE",4,"36","501","91.816"
"2010","1","2010-January","SE",5,"28","501","97.405"
"2010","1","2010-January","SE",6,"12","501","99.800"
"2010","1","2010-January","SE",7,"1","501","100.000"
"2010","1","2010-January","SW",1,"106","134","79.104"
"2010","1","2010-January","SW",2,"20","134","94.030"
"2010","1","2010-January","SW",3,"8","134","100.000"
"2010","1","2010-January","W",1,"135","177","76.271"
"2010","1","2010-January","W",2,"33","177","94.915"
"2010","1","2010-January","W",3,"9","177","100.000"
"2010","3","2010-March","E",1,"78","284","27.465"
"2010","3","2010-March","E",2,"107","284","65.141"
"2010","3","2010-March","E",3,"68","284","89.085"
"2010","3","2010-March","E",4,"26","284","98.239"
"2010","3","2010-March","E",5,"5","284","100.000"
"2010","3","2010-March","N",1,"84","278","30.216"
"2010","3","2010-March","N",2,"118","278","72.662"
"2010","3","2010-March","N",3,"45","278","88.849"
"2010","3","2010-March","N",4,"9","278","92.086"
"2010","3","2010-March","N",5,"14","278","97.122"
"2010","3","2010-March","N",6,"6","278","99.281"
"2010","3","2010-March","N",7,"1","278","99.640"
"2010","3","2010-March","N",8,"1","278","100.000"
"2010","3","2010-March","NE",1,"139","568","24.472"
"2010","3","2010-March","NE",2,"143","568","49.648"
"2010","3","2010-March","NE",3,"158","568","77.465"
"2010","3","2010-March","NE",4,"78","568","91.197"
"2010","3","2010-March","NE",5,"35","568","97.359"
"2010","3","2010-March","NE",6,"14","568","99.824"
"2010","3","2010-March","NE",7,"1","568","100.000"
"2010","3","2010-March","NW",1,"141","217","64.977"
"2010","3","2010-March","NW",2,"72","217","98.157"
"2010","3","2010-March","NW",3,"4","217","100.000"
"2010","3","2010-March","S",1,"71","162","43.827"
"2010","3","2010-March","S",2,"51","162","75.309"
"2010","3","2010-March","S",3,"36","162","97.531"
"2010","3","2010-March","S",4,"4","162","100.000"
"2010","3","2010-March","SE",1,"73","236","30.932"
"2010","3","2010-March","SE",2,"105","236","75.424"
"2010","3","2010-March","SE",3,"53","236","97.881"
"2010","3","2010-March","SE",4,"5","236","100.000"
"2010","3","2010-March","SW",1,"87","129","67.442"
"2010","3","2010-March","SW",2,"29","129","89.922"
"2010","3","2010-March","SW",3,"12","129","99.225"
"2010","3","2010-March","SW",4,"1","129","100.000"
"2010","3","2010-March","W",1,"100","136","73.529"
"2010","3","2010-March","W",2,"33","136","97.794"
"2010","3","2010-March","W",3,"3","136","100.000"
"2010","4","2010-April","E",1,"531","1832","28.985"
"2010","4","2010-April","E",2,"473","1832","54.803"
"2010","4","2010-April","E",3,"446","1832","79.148"
"2010","4","2010-April","E",4,"255","1832","93.068"
"2010","4","2010-April","E",5,"99","1832","98.472"
"2010","4","2010-April","E",6,"27","1832","99.945"
"2010","4","2010-April","E",7,"1","1832","100.000"
"2010","4","2010-April","N",1,"351","784","44.770"
"2010","4","2010-April","N",2,"278","784","80.230"
"2010","4","2010-April","N",3,"106","784","93.750"
"2010","4","2010-April","N",4,"34","784","98.087"
"2010","4","2010-April","N",5,"13","784","99.745"
"2010","4","2010-April","N",6,"1","784","99.872"
"2010","4","2010-April","N",7,"1","784","100.000"
"2010","4","2010-April","NE",1,"524","1076","48.699"
"2010","4","2010-April","NE",2,"327","1076","79.089"
"2010","4","2010-April","NE",3,"136","1076","91.729"
"2010","4","2010-April","NE",4,"62","1076","97.491"
"2010","4","2010-April","NE",5,"25","1076","99.814"
"2010","4","2010-April","NE",6,"2","1076","100.000"
"2010","4","2010-April","NW",1,"213","375","56.800"
"2010","4","2010-April","NW",2,"114","375","87.200"
"2010","4","2010-April","NW",3,"39","375","97.600"
"2010","4","2010-April","NW",4,"9","375","100.000"
"2010","4","2010-April","S",1,"204","1113","18.329"
"2010","4","2010-April","S",2,"289","1113","44.295"
"2010","4","2010-April","S",3,"296","1113","70.889"
"2010","4","2010-April","S",4,"205","1113","89.308"
"2010","4","2010-April","S",5,"99","1113","98.203"
"2010","4","2010-April","S",6,"17","1113","99.730"
"2010","4","2010-April","S",7,"3","1113","100.000"
"2010","4","2010-April","SE",1,"381","2456","15.513"
"2010","4","2010-April","SE",2,"824","2456","49.064"
"2010","4","2010-April","SE",3,"667","2456","76.221"
"2010","4","2010-April","SE",4,"356","2456","90.717"
"2010","4","2010-April","SE",5,"188","2456","98.371"
"2010","4","2010-April","SE",6,"39","2456","99.959"
"2010","4","2010-April","SE",7,"1","2456","100.000"
"2010","4","2010-April","SW",1,"148","417","35.492"
"2010","4","2010-April","SW",2,"152","417","71.942"
"2010","4","2010-April","SW",3,"89","417","93.285"
"2010","4","2010-April","SW",4,"23","417","98.801"
"2010","4","2010-April","SW",5,"5","417","100.000"
"2010","4","2010-April","W",1,"150","329","45.593"
"2010","4","2010-April","W",2,"119","329","81.763"
"2010","4","2010-April","W",3,"58","329","99.392"
"2010","4","2010-April","W",4,"1","329","99.696"
"2010","4","2010-April","W",5,"1","329","100.000"
"2010","5","2010-May","E",1,"646","1396","46.275"
"2010","5","2010-May","E",2,"553","1396","85.888"
"2010","5","2010-May","E",3,"135","1396","95.559"
"2010","5","2010-May","E",4,"54","1396","99.427"
"2010","5","2010-May","E",5,"6","1396","99.857"
"2010","5","2010-May","E",6,"1","1396","99.928"
"2010","5","2010-May","E",7,"1","1396","100.000"
"2010","5","2010-May","N",1,"287","669","42.900"
"2010","5","2010-May","N",2,"267","669","82.810"
"2010","5","2010-May","N",3,"96","669","97.160"
"2010","5","2010-May","N",4,"12","669","98.954"
"2010","5","2010-May","N",5,"7","669","100.000"
"2010","5","2010-May","NE",1,"640","1166","54.889"
"2010","5","2010-May","NE",2,"389","1166","88.250"
"2010","5","2010-May","NE",3,"101","1166","96.913"
"2010","5","2010-May","NE",4,"31","1166","99.571"
"2010","5","2010-May","NE",5,"5","1166","100.000"
"2010","5","2010-May","NW",1,"120","408","29.412"
"2010","5","2010-May","NW",2,"161","408","68.873"
"2010","5","2010-May","NW",3,"105","408","94.608"
"2010","5","2010-May","NW",4,"20","408","99.510"
"2010","5","2010-May","NW",5,"2","408","100.000"
"2010","5","2010-May","S",1,"179","1202","14.892"
"2010","5","2010-May","S",2,"348","1202","43.844"
"2010","5","2010-May","S",3,"381","1202","75.541"
"2010","5","2010-May","S",4,"200","1202","92.180"
"2010","5","2010-May","S",5,"78","1202","98.669"
"2010","5","2010-May","S",6,"15","1202","99.917"
"2010","5","2010-May","S",7,"1","1202","100.000"
"2010","5","2010-May","SE",1,"366","2035","17.985"
"2010","5","2010-May","SE",2,"805","2035","57.543"
"2010","5","2010-May","SE",3,"595","2035","86.781"
"2010","5","2010-May","SE",4,"220","2035","97.592"
"2010","5","2010-May","SE",5,"41","2035","99.607"
"2010","5","2010-May","SE",6,"6","2035","99.902"
"2010","5","2010-May","SE",7,"2","2035","100.000"
"2010","5","2010-May","SW",1,"163","980","16.633"
"2010","5","2010-May","SW",2,"408","980","58.265"
"2010","5","2010-May","SW",3,"334","980","92.347"
"2010","5","2010-May","SW",4,"69","980","99.388"
"2010","5","2010-May","SW",5,"5","980","99.898"
"2010","5","2010-May","SW",6,"1","980","100.000"
"2010","5","2010-May","W",1,"132","787","16.773"
"2010","5","2010-May","W",2,"273","787","51.461"
"2010","5","2010-May","W",3,"287","787","87.929"
"2010","5","2010-May","W",4,"88","787","99.111"
"2010","5","2010-May","W",5,"7","787","100.000"
"2010","6","2010-June","E",1,"808","1712","47.196"
"2010","6","2010-June","E",2,"805","1712","94.217"
"2010","6","2010-June","E",3,"87","1712","99.299"
"2010","6","2010-June","E",4,"9","1712","99.825"
"2010","6","2010-June","E",5,"3","1712","100.000"
