"year","month","year_month","cardinal_direction","speed_bin","count_speed_bin","count_total","percent_frequency","cumulative_percent_frequency"
"2010","1","2010-January","E",1,"137","2830","4.841","4.841"
"2010","1","2010-January","E",2,"108","2830","3.816","8.657"
"2010","1","2010-January","E",3,"134","2830","4.735","13.392"
"2010","1","2010-January","E",4,"65","2830","2.297","15.689"
"2010","1","2010-January","E",5,"42","2830","1.484","17.173"
"2010","1","2010-January","E",6,"7","2830","0.247","17.420"
"2010","1","2010-January","E",7,"1","2830","0.035","17.455"
"2010","1","2010-January","N",1,"143","2830","5.053","5.053"
"2010","1","2010-January","N",2,"238","2830","8.410","13.463"
"2010","1","2010-January","N",3,"192","2830","6.784","20.247"
"2010","1","2010-January","N",4,"66","2830","2.332","22.579"
"2010","1","2010-January","N",5,"35","2830","1.237","23.816"
"2010","1","2010-January","N",6,"4","2830","0.141","23.957"
"2010","1","2010-January","NE",1,"116","2830","4.099","4.099"
"2010","1","2010-January","NE",2,"117","2830","4.134","8.233"
"2010","1","2010-January","NE",3,"107","2830","3.781","12.014"
"2010","1","2010-January","NE",4,"65","2830","2.297","14.311"
"2010","1","2010-January","NE",5,"55","2830","1.943","16.254"
"2010","1","2010-January","NE",6,"15","2830","0.530","16.784"
"2010","1","2010-January","NE",7,"1","2830","0.035","16.819"
"2010","1","2010-January","NW",1,"173","2830","6.113","6.113"
"2010","1","2010-January","NW",2,"65","2830","2.297","8.410"
"2010","1","2010-January","NW",3,"5","2830","0.177","8.587"
"2010","1","2010-January","NW",4,"1","2830","0.035","8.622"
"2010","1","2010-January","S",1,"94","2830","3.322","3.322"
"2010","1","2010-January","S",2,"22","2830","0.777","4.099"
"2010","1","2010-January","S",3,"8","2830","0.283","4.382"
"2010","1","2010-January","S",4,"1","2830","0.035","4.417"
"2010","1","2010-January","S",5,"1","2830","0.035","4.452"
"2010","1","2010-January","SE",1,"125","2830","4.417","4.417"
"2010","1","2010-January","SE",2,"195","2830","6.890","11.307"
"2010","1","2010-January","SE",3,"104","2830","3.675","14.982"
"2010","1","2010-January","SE",4,"36","2830","1.272","16.254"
"2010","1","2010-January","SE",5,"28","2830","0.989","17.243"
"2010","1","2010-January","SE",6,"12","2830","0.424","17.667"
"2010","1","2010-January","SE",7,"1","2830","0.035","17.702"
"2010","1","2010-January","SW",1,"106","2830","3.746","3.746"
