"year_month","day","hour","wind_speed"
"2010-April","12","14","6.31"
"2010-August","2","18","6.49"
"2010-December","21","14","5.01"
"2010-January","19","13","6.31"
"2010-January","19","15","6.31"
"2010-July","14","0","11.13"
"2010-June","15","17","7.24"
"2010-March","26","12","7.05"
"2010-May","15","15","6.68"
"2010-November","23","16","6.86"
"2010-October","19","4","6.86"
"2010-September","29","14","6.68"
"2011-January","1","0","0.0"
"2010-April","26","22","0.0"
"2010-April","26","22","0.0"
"2010-April","26","22","0.0"
"2010-April","26","22","0.0"
"2010-April","26","22","0.0"
"2010-April","24","23","0.0"
"2010-April","24","23","0.0"
"2010-April","10","0","0.0"
"2010-April","10","0","0.0"
"2010-April","10","0","0.0"
"2010-April","10","0","0.0"
"2010-April","10","0","0.0"
"2010-April","18","22","0.0"
"2010-April","26","20","0.0"
"2010-April","26","20","0.0"
"2010-April","26","20","0.0"
"2010-April","26","20","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","5","5","0.0"
"2010-April","9","3","0.0"
"2010-April","9","3","0.0"
"2010-April","6","0","0.0"
"2010-April","9","2","0.0"
"2010-April","6","0","0.0"
"2010-April","6","0","0.0"
"2010-April","6","0","0.0"
"2010-April","6","0","0.0"
"2010-April","9","2","0.0"
"2010-April","19","6","0.0"
"2010-April","6","2","0.0"
"2010-April","21","4","0.0"
"2010-April","21","3","0.0"
"2010-April","9","1","0.0"
"2010-April","9","1","0.0"
"2010-April","6","3","0.0"
"2010-April","20","5","0.0"
"2010-April","6","3","0.0"
"2010-April","6","3","0.0"
"2010-April","6","3","0.0"
"2010-April","1","5","0.0"
"2010-April","1","5","0.0"
"2010-April","1","2","0.0"
"2010-April","20","23","0.0"
"2010-April","20","5","0.0"
"2010-April","20","5","0.0"
"2010-April","1","6","0.0"
"2010-April","8","23","0.0"
"2010-April","1","6","0.0"
"2010-April","26","5","0.0"
"2010-April","20","5","0.0"
"2010-April","8","4","0.0"
"2010-April","22","2","0.0"
"2010-April","8","4","0.0"
"2010-April","26","4","0.0"
"2010-April","1","6","0.0"
"2010-April","8","4","0.0"
"2010-April","8","3","0.0"
"2010-April","20","5","0.0"
"2010-April","6","20","0.0"
"2010-April","6","20","0.0"
"2010-April","7","0","0.0"
"2010-April","16","6","0.0"
"2010-April","7","1","0.0"
"2010-April","8","1","0.0"
"2010-April","8","1","0.0"
"2010-April","20","4","0.0"
"2010-April","20","4","0.0"
"2010-April","8","0","0.0"
"2010-April","20","4","0.0"
"2010-April","20","4","0.0"
"2010-April","1","6","0.0"
"2010-April","18","21","0.0"
"2010-April","8","0","0.0"
"2010-April","8","0","0.0"
"2010-April","8","0","0.0"
"2010-April","8","0","0.0"
"2010-April","8","0","0.0"
"2010-April","20","4","0.0"
"2010-April","7","4","0.0"
"2010-April","8","0","0.0"
"2010-April","7","23","0.0"
"2010-April","7","23","0.0"
"2010-April","7","23","0.0"
"2010-April","7","23","0.0"
"2010-April","7","23","0.0"
"2010-April","7","23","0.0"
"2010-April","20","3","0.0"
"2010-April","20","3","0.0"
"2010-April","20","3","0.0"
"2010-April","18","21","0.0"
"2010-April","20","3","0.0"
"2010-April","22","3","0.0"
"2010-April","1","4","0.0"
"2010-April","18","23","0.0"
"2010-April","22","5","0.0"
"2010-April","21","5","0.0"
"2010-April","20","1","0.0"
"2010-April","20","0","0.0"
"2010-April","2","4","0.0"
"2010-April","19","0","0.0"
"2010-April","20","0","0.0"
"2010-April","20","0","0.0"
