"year","month","year_month","day","cardinal_direction","speed_bin","count_speed_bin","count_total","cumulative_percent_frequency"
"2010","1","2010-January","16","E",2,"3","6","50.0000000000000000"
"2010","1","2010-January","16","E",3,"3","6","100.0000000000000000"
"2010","1","2010-January","16","N",1,"3","106","2.8301886792452830"
"2010","1","2010-January","16","N",2,"36","106","36.7924528301886792"
"2010","1","2010-January","16","N",3,"38","106","72.6415094339622641"
"2010","1","2010-January","16","N",4,"12","106","83.9622641509433962"
"2010","1","2010-January","16","N",5,"14","106","97.1698113207547170"
"2010","1","2010-January","16","N",6,"3","106","100.0000000000000000"
"2010","1","2010-January","16","NE",1,"1","48","2.0833333333333333"
"2010","1","2010-January","16","NE",2,"8","48","18.7500000000000000"
"2010","1","2010-January","16","NE",3,"14","48","47.9166666666666667"
"2010","1","2010-January","16","NE",4,"9","48","66.6666666666666667"
"2010","1","2010-January","16","NE",5,"14","48","95.8333333333333334"
"2010","1","2010-January","16","NE",6,"2","48","100.0000000000000001"
"2010","1","2010-January","16","NW",1,"1","1","100.0000000000000000"
"2010","1","2010-January","16","SE",1,"1","1","100.0000000000000000"
"2010","1","2010-January","17","N",1,"9","222","4.0540540540540541"
"2010","1","2010-January","17","N",2,"60","222","31.0810810810810811"
"2010","1","2010-January","17","N",3,"94","222","73.4234234234234234"
"2010","1","2010-January","17","N",4,"40","222","91.4414414414414414"
"2010","1","2010-January","17","N",5,"18","222","99.5495495495495495"
"2010","1","2010-January","17","N",6,"1","222","99.99999999999999995045"
"2010","1","2010-January","17","NE",1,"3","62","4.8387096774193548"
"2010","1","2010-January","17","NE",2,"22","62","40.3225806451612903"
"2010","1","2010-January","17","NE",3,"22","62","75.8064516129032258"
"2010","1","2010-January","17","NE",4,"12","62","95.1612903225806452"
"2010","1","2010-January","17","NE",5,"3","62","100.0000000000000000"
"2010","1","2010-January","17","NW",1,"2","4","50.0000000000000000"
"2010","1","2010-January","17","NW",2,"2","4","100.0000000000000000"
"2010","1","2010-January","18","E",1,"8","18","44.4444444444444444"
"2010","1","2010-January","18","E",2,"5","18","72.2222222222222222"
"2010","1","2010-January","18","E",3,"3","18","88.8888888888888889"
"2010","1","2010-January","18","E",4,"2","18","100.0000000000000000"
"2010","1","2010-January","18","N",1,"30","109","27.5229357798165138"
"2010","1","2010-January","18","N",2,"54","109","77.0642201834862386"
"2010","1","2010-January","18","N",3,"25","109","100.0000000000000001"
"2010","1","2010-January","18","NE",1,"15","31","48.3870967741935484"
"2010","1","2010-January","18","NE",2,"11","31","83.8709677419354839"
"2010","1","2010-January","18","NE",3,"5","31","100.0000000000000000"
"2010","1","2010-January","18","NW",1,"35","42","83.3333333333333333"
"2010","1","2010-January","18","NW",2,"6","42","97.6190476190476190"
"2010","1","2010-January","18","NW",3,"1","42","100.0000000000000000"
"2010","1","2010-January","18","S",1,"7","15","46.6666666666666667"
"2010","1","2010-January","18","S",2,"3","15","66.6666666666666667"
"2010","1","2010-January","18","S",3,"3","15","86.6666666666666667"
"2010","1","2010-January","18","S",4,"1","15","93.3333333333333334"
"2010","1","2010-January","18","S",5,"1","15","100.0000000000000001"
"2010","1","2010-January","18","SE",1,"8","31","25.8064516129032258"
"2010","1","2010-January","18","SE",2,"10","31","58.0645161290322581"
"2010","1","2010-January","18","SE",3,"8","31","83.8709677419354839"
"2010","1","2010-January","18","SE",4,"5","31","100.0000000000000000"
"2010","1","2010-January","18","SW",1,"10","10","100.0000000000000000"
"2010","1","2010-January","18","W",1,"18","18","100.0000000000000000"
"2010","1","2010-January","19","E",1,"10","121","8.2644628099173554"
"2010","1","2010-January","19","E",2,"17","121","22.3140495867768595"
"2010","1","2010-January","19","E",3,"35","121","51.2396694214876033"
"2010","1","2010-January","19","E",4,"27","121","73.5537190082644628"
"2010","1","2010-January","19","E",5,"25","121","94.2148760330578512"
"2010","1","2010-January","19","E",6,"6","121","99.1735537190082644"
"2010","1","2010-January","19","E",7,"1","121","99.99999999999999993719"
"2010","1","2010-January","19","N",1,"19","19","100.0000000000000000"
"2010","1","2010-January","19","NE",1,"13","20","65.0000000000000000"
"2010","1","2010-January","19","NE",2,"4","20","85.0000000000000000"
"2010","1","2010-January","19","NE",3,"2","20","95.0000000000000000"
"2010","1","2010-January","19","NE",5,"1","20","100.0000000000000000"
"2010","1","2010-January","19","NW",1,"15","21","71.4285714285714286"
"2010","1","2010-January","19","NW",2,"6","21","100.0000000000000000"
"2010","1","2010-January","19","S",1,"6","8","75.0000000000000000"
"2010","1","2010-January","19","S",2,"2","8","100.0000000000000000"
"2010","1","2010-January","19","SE",1,"9","85","10.5882352941176471"
"2010","1","2010-January","19","SE",2,"30","85","45.8823529411764706"
"2010","1","2010-January","19","SE",3,"20","85","69.4117647058823530"
"2010","1","2010-January","19","SE",4,"2","85","71.7647058823529412"
"2010","1","2010-January","19","SE",5,"16","85","90.5882352941176471"
"2010","1","2010-January","19","SE",6,"7","85","98.8235294117647059"
"2010","1","2010-January","19","SE",7,"1","85","100.0000000000000000"
"2010","1","2010-January","19","SW",1,"2","2","100.0000000000000000"
"2010","1","2010-January","19","W",1,"7","7","100.0000000000000000"
"2010","1","2010-January","20","E",1,"12","63","19.0476190476190476"
"2010","1","2010-January","20","E",2,"28","63","63.4920634920634920"
"2010","1","2010-January","20","E",3,"18","63","92.0634920634920634"
"2010","1","2010-January","20","E",4,"2","63","95.2380952380952380"
"2010","1","2010-January","20","E",5,"3","63","99.9999999999999999"
"2010","1","2010-January","20","N",1,"14","19","73.6842105263157895"
"2010","1","2010-January","20","N",2,"4","19","94.7368421052631579"
"2010","1","2010-January","20","N",3,"1","19","100.0000000000000000"
"2010","1","2010-January","20","NE",1,"13","29","44.8275862068965517"
"2010","1","2010-January","20","NE",2,"14","29","93.1034482758620689"
"2010","1","2010-January","20","NE",3,"2","29","99.9999999999999999"
"2010","1","2010-January","20","NW",1,"11","11","100.0000000000000000"
"2010","1","2010-January","20","S",1,"4","5","80.0000000000000000"
"2010","1","2010-January","20","S",2,"1","5","100.0000000000000000"
"2010","1","2010-January","20","SE",1,"10","130","7.6923076923076923"
"2010","1","2010-January","20","SE",2,"54","130","49.2307692307692308"
"2010","1","2010-January","20","SE",3,"35","130","76.1538461538461539"
"2010","1","2010-January","20","SE",4,"18","130","90.0000000000000001"
