"year","month","year_month","day","cardinal_direction","speed_bin","count_speed_bin","count_total","percent_frequency"
"2010","1","2010-January","16","E",2,"3","6","50.0000000000000000"
"2010","1","2010-January","16","E",3,"3","6","50.0000000000000000"
"2010","1","2010-January","16","N",1,"3","106","2.8301886792452830"
"2010","1","2010-January","16","N",2,"36","106","33.9622641509433962"
"2010","1","2010-January","16","N",3,"38","106","35.8490566037735849"
"2010","1","2010-January","16","N",4,"12","106","11.3207547169811321"
"2010","1","2010-January","16","N",5,"14","106","13.2075471698113208"
"2010","1","2010-January","16","N",6,"3","106","2.8301886792452830"
"2010","1","2010-January","16","NE",1,"1","48","2.0833333333333333"
"2010","1","2010-January","16","NE",2,"8","48","16.6666666666666667"
"2010","1","2010-January","16","NE",3,"14","48","29.1666666666666667"
"2010","1","2010-January","16","NE",4,"9","48","18.7500000000000000"
"2010","1","2010-January","16","NE",5,"14","48","29.1666666666666667"
"2010","1","2010-January","16","NE",6,"2","48","4.1666666666666667"
"2010","1","2010-January","16","NW",1,"1","1","100.0000000000000000"
"2010","1","2010-January","16","SE",1,"1","1","100.0000000000000000"
"2010","1","2010-January","17","N",1,"9","222","4.0540540540540541"
"2010","1","2010-January","17","N",2,"60","222","27.0270270270270270"
"2010","1","2010-January","17","N",3,"94","222","42.3423423423423423"
"2010","1","2010-January","17","N",4,"40","222","18.0180180180180180"
"2010","1","2010-January","17","N",5,"18","222","8.1081081081081081"
"2010","1","2010-January","17","N",6,"1","222","0.45045045045045045045"
"2010","1","2010-January","17","NE",1,"3","62","4.8387096774193548"
"2010","1","2010-January","17","NE",2,"22","62","35.4838709677419355"
"2010","1","2010-January","17","NE",3,"22","62","35.4838709677419355"
"2010","1","2010-January","17","NE",4,"12","62","19.3548387096774194"
"2010","1","2010-January","17","NE",5,"3","62","4.8387096774193548"
"2010","1","2010-January","17","NW",1,"2","4","50.0000000000000000"
"2010","1","2010-January","17","NW",2,"2","4","50.0000000000000000"
"2010","1","2010-January","18","E",1,"8","18","44.4444444444444444"
