years,months,year_month,wind_shear,speed_at_turbine,power_curve,f_v
2010,8,2010-August,1.472,4.0,0,0.008783184245293306
2010,8,2010-August,1.472,11.0,76,7.1439023829181135e-19
2010,8,2010-August,1.472,16.5,107,1.6608292401366672e-42
2010,8,2010-August,1.472,24.5,102,5.733316129461096e-94
2010,8,2010-August,1.472,17.5,109,7.827364248376905e-48
2010,8,2010-August,1.472,15.5,104,1.7005807035972983e-37
2010,8,2010-August,1.472,1.5,0,0.48106261218558194
2010,8,2010-August,1.472,3.0,0,0.08330093347178147
2010,8,2010-August,1.472,6.0,13,9.36166148275915e-06
2010,8,2010-August,1.472,11.5,80,1.2655261170217921e-20
2010,8,2010-August,1.472,5.5,8,6.898053984639882e-05
2010,8,2010-August,1.472,7.5,32,7.594824591049722e-09
2010,8,2010-August,1.472,19.0,109,2.044619968648539e-56
2010,8,2010-August,1.472,4.5,0,0.0021172472268316364
2010,8,2010-August,1.472,16.0,105,5.8214095637567435e-40
2010,8,2010-August,1.472,8.5,46,2.6071328088616164e-11
2010,8,2010-August,1.472,23.5,104,1.978993796276081e-86
2010,8,2010-August,1.472,2.0,0,0.34013881070616536
2010,8,2010-August,1.472,18.5,109,1.7809291793843345e-53
2010,8,2010-August,1.472,19.5,109,1.9568968143529864e-59
2010,8,2010-August,1.472,9.0,53,1.157619873793365e-12
2010,8,2010-August,1.472,17.0,108,3.949235817841445e-45
2010,8,2010-August,1.472,22.0,107,1.0272619813630095e-75
2010,8,2010-August,1.472,3.5,0,0.02992149100822211
2010,8,2010-August,1.472,21.5,108,2.6642284796372836e-72
2010,8,2010-August,1.472,23.0,105,8.853360579205485e-83
2010,8,2010-August,1.472,0.0,0,0.0
2010,8,2010-August,1.472,10.5,71,3.357313694758126e-17
2010,8,2010-August,1.472,6.5,19,1.0525507972609037e-06
2010,8,2010-August,1.472,14.5,100,8.398834617267443e-33
2010,8,2010-August,1.472,21.0,108,5.761253902580635e-69
2010,8,2010-August,1.472,9.5,59,4.2748073488546457e-14
2010,8,2010-August,1.472,0.5,0,0.33106965966718016
2010,8,2010-August,1.472,10.0,65,1.313265881419589e-15
2010,8,2010-August,1.472,1.0,0,0.5045273815112506
2010,8,2010-August,1.472,13.0,92,2.346115630024585e-26
2010,8,2010-August,1.472,22.5,106,3.3026064336093364e-79
2010,8,2010-August,1.472,13.5,95,1.9995452770528796e-28
2010,8,2010-August,1.472,7.0,26,9.813999131561988e-08
2010,8,2010-August,1.472,15.0,102,4.140038940693854e-35
2010,8,2010-August,1.472,14.0,97,1.4197345962422096e-30
2010,8,2010-August,1.472,12.0,84,1.8667029141391094e-22
2010,8,2010-August,1.472,2.5,0,0.18809285173653195
2010,8,2010-August,1.472,5.0,5,0.00042051971603178297
2010,8,2010-August,1.472,24.0,103,3.6887082604579253e-90
2010,8,2010-August,1.472,18.0,109,1.2931639600473718e-50
2010,8,2010-August,1.472,20.5,109,1.0387392391250745e-65
2010,8,2010-August,1.472,12.5,88,2.2930572722411176e-24
2010,8,2010-August,1.472,8.0,39,4.881409284606739e-10
2010,8,2010-August,1.472,20.0,109,1.5614492392506183e-62
2010,8,2010-August,1.472,25.0,102,7.430991994145028e-98
