years,months,year_month,hours,avg_wind_speed
2010,1,2010-January,16,3.344
2010,7,2010-July,16,2.203
2010,7,2010-July,19,1.542
2010,8,2010-August,17,1.975
2010,9,2010-September,9,1.085
2010,9,2010-September,24,0.831
2010,10,2010-October,1,0.621
2010,10,2010-October,6,0.634
2010,12,2010-December,10,0.924
2010,7,2010-July,17,1.888
2010,8,2010-August,1,0.936
2010,8,2010-August,24,1.041
2010,10,2010-October,8,0.677
2010,11,2010-November,12,1.491
2010,12,2010-December,12,1.373
2011,1,2011-January,1,0.0
2010,3,2010-March,18,2.877
2010,5,2010-May,2,0.827
2010,5,2010-May,4,0.735
2010,5,2010-May,22,1.524
2010,7,2010-July,6,0.719
2010,11,2010-November,21,0.805
2010,4,2010-April,9,1.297
2010,4,2010-April,24,1.213
2010,5,2010-May,19,2.045
2010,7,2010-July,5,0.71
2010,9,2010-September,1,0.665
2010,10,2010-October,5,0.719
2010,10,2010-October,9,0.879
2010,11,2010-November,1,0.54
2010,3,2010-March,23,0.907
2010,4,2010-April,10,1.809
2010,8,2010-August,11,1.753
2010,8,2010-August,18,1.773
2010,9,2010-September,18,1.495
2010,10,2010-October,18,0.996
2010,10,2010-October,23,0.594
2010,11,2010-November,9,0.813
2010,11,2010-November,13,1.437
2010,12,2010-December,21,0.724
2010,4,2010-April,7,0.835
2010,10,2010-October,16,1.674
2010,11,2010-November,17,1.408
2010,12,2010-December,2,0.456
2010,12,2010-December,17,1.616
2010,12,2010-December,19,1.41
2010,4,2010-April,2,1.09
2010,5,2010-May,8,1.024
2010,6,2010-June,23,0.994
2010,8,2010-August,8,0.862
2010,10,2010-October,22,0.69
2010,1,2010-January,22,1.353
2010,6,2010-June,15,2.12
2010,6,2010-June,21,1.096
2010,8,2010-August,14,2.412
2010,9,2010-September,15,1.885
2010,9,2010-September,19,1.36
2010,10,2010-October,19,0.916
2010,11,2010-November,22,0.607
2010,1,2010-January,8,0.722
2010,3,2010-March,11,1.651
2010,5,2010-May,16,2.801
2010,11,2010-November,3,0.601
2010,11,2010-November,19,1.067
2010,3,2010-March,14,2.469
2010,4,2010-April,13,2.474
2010,10,2010-October,2,0.701
2010,11,2010-November,14,1.608
2010,1,2010-January,13,2.623
2010,3,2010-March,1,0.619
2010,4,2010-April,6,0.69
2010,4,2010-April,15,3.162
2010,5,2010-May,3,0.729
2010,7,2010-July,4,0.85
2010,9,2010-September,13,1.931
2010,1,2010-January,5,0.858
2010,1,2010-January,15,3.183
2010,6,2010-June,12,1.623
2010,1,2010-January,17,3.052
2010,3,2010-March,17,3.241
2010,7,2010-July,18,1.713
2010,7,2010-July,20,1.35
2010,8,2010-August,21,1.08
2010,11,2010-November,2,0.59
2010,3,2010-March,3,0.838
2010,3,2010-March,12,2.105
2010,4,2010-April,14,2.836
2010,4,2010-April,17,3.29
2010,6,2010-June,3,0.916
2010,12,2010-December,6,0.371
2010,1,2010-January,23,1.002
2010,3,2010-March,9,1.091
2010,7,2010-July,2,0.964
2010,7,2010-July,3,0.876
2010,8,2010-August,19,1.495
2010,12,2010-December,11,1.174
2010,5,2010-May,5,0.839
2010,8,2010-August,7,0.741
2010,9,2010-September,3,0.614
2010,9,2010-September,11,1.592
2010,10,2010-October,14,1.704
2010,1,2010-January,19,1.751
2010,4,2010-April,4,0.802
2010,5,2010-May,9,1.429
2010,5,2010-May,15,2.632
2010,7,2010-July,15,2.253
2010,9,2010-September,10,1.169
2010,10,2010-October,17,1.298
2010,1,2010-January,9,1.021
2010,5,2010-May,24,1.126
2010,12,2010-December,1,0.467
2010,3,2010-March,8,0.941
2010,5,2010-May,23,1.33
2010,6,2010-June,5,0.993
2010,6,2010-June,18,1.983
2010,10,2010-October,11,1.388
2010,11,2010-November,15,1.704
2010,12,2010-December,9,0.765
2010,12,2010-December,24,0.52
2010,8,2010-August,3,0.732
2010,8,2010-August,6,0.687
2010,1,2010-January,10,1.489
2010,1,2010-January,20,1.302
2010,9,2010-September,5,0.714
2010,3,2010-March,10,1.323
2010,9,2010-September,4,0.681
2010,11,2010-November,4,0.592
2010,5,2010-May,11,1.973
2010,9,2010-September,23,0.829
2010,11,2010-November,5,0.592
2010,6,2010-June,7,0.817
2010,7,2010-July,9,1.214
2010,8,2010-August,4,0.662
2010,12,2010-December,18,1.552
2010,4,2010-April,20,2.057
2010,7,2010-July,12,1.88
2010,9,2010-September,7,0.677
2010,10,2010-October,15,1.815
2010,12,2010-December,4,0.395
2010,10,2010-October,21,0.888
2010,3,2010-March,19,2.221
2010,5,2010-May,7,0.902
2010,5,2010-May,12,2.029
2010,7,2010-July,11,1.614
2010,3,2010-March,15,2.478
2010,6,2010-June,1,0.828
2010,7,2010-July,24,1.126
2010,8,2010-August,20,1.194
2010,9,2010-September,12,1.935
2010,1,2010-January,2,0.916
2010,3,2010-March,16,2.782
2010,3,2010-March,24,0.8
2010,7,2010-July,10,1.452
2010,11,2010-November,18,1.166
2010,1,2010-January,11,1.947
2010,1,2010-January,24,1.081
2010,7,2010-July,8,0.935
2010,10,2010-October,3,0.705
2010,12,2010-December,14,1.666
2010,12,2010-December,22,0.607
2010,4,2010-April,12,2.334
2010,5,2010-May,14,2.344
2010,5,2010-May,21,1.564
2010,6,2010-June,6,0.956
2010,7,2010-July,13,2.163
2010,11,2010-November,8,0.612
2010,4,2010-April,11,2.103
2010,10,2010-October,7,0.593
2010,11,2010-November,20,0.841
2010,6,2010-June,8,0.854
2010,8,2010-August,12,1.947
2010,8,2010-August,15,2.372
2010,6,2010-June,22,0.913
2010,7,2010-July,21,1.088
2010,8,2010-August,16,2.267
2010,9,2010-September,8,0.956
2010,5,2010-May,10,1.728
2010,8,2010-August,5,0.649
2010,9,2010-September,21,0.927
2010,10,2010-October,10,1.113
2010,12,2010-December,15,1.818
2010,4,2010-April,18,3.066
2010,4,2010-April,21,1.687
2010,7,2010-July,22,1.124
2010,12,2010-December,13,1.555
2010,12,2010-December,16,1.62
2010,12,2010-December,20,1.028
2010,4,2010-April,1,1.084
2010,6,2010-June,19,1.534
2010,9,2010-September,16,1.944
2010,9,2010-September,17,1.712
2010,9,2010-September,20,1.234
2010,11,2010-November,10,0.988
2010,6,2010-June,13,1.777
2010,7,2010-July,23,1.088
2010,8,2010-August,2,0.815
2010,8,2010-August,9,1.293
2010,8,2010-August,10,1.577
2010,12,2010-December,23,0.611
2010,1,2010-January,4,0.678
2010,3,2010-March,5,0.709
2010,4,2010-April,5,0.695
2010,5,2010-May,13,2.12
2010,6,2010-June,20,1.275
2010,9,2010-September,6,0.662
2010,10,2010-October,20,0.841
2010,3,2010-March,2,0.993
2010,3,2010-March,7,0.736
2010,3,2010-March,20,1.447
2010,4,2010-April,8,0.914
2010,4,2010-April,22,1.567
2010,6,2010-June,24,0.846
2010,10,2010-October,13,1.913
2010,10,2010-October,24,0.497
2010,11,2010-November,24,0.522
2010,1,2010-January,21,1.449
2010,4,2010-April,16,3.264
2010,5,2010-May,17,2.915
2010,6,2010-June,11,1.57
2010,8,2010-August,23,1.055
2010,12,2010-December,8,0.62
2010,4,2010-April,19,2.444
2010,6,2010-June,4,1.042
2010,8,2010-August,13,2.223
2010,9,2010-September,2,0.722
2010,10,2010-October,12,1.61
2010,11,2010-November,7,0.634
2010,1,2010-January,6,0.767
2010,1,2010-January,14,3.205
2010,3,2010-March,13,2.399
2010,6,2010-June,10,1.343
2010,6,2010-June,16,2.036
2010,11,2010-November,16,1.522
2010,12,2010-December,5,0.4
2010,6,2010-June,9,1.053
2010,9,2010-September,14,1.835
2010,11,2010-November,6,0.559
2010,11,2010-November,23,0.581
2010,1,2010-January,12,2.455
2010,3,2010-March,6,0.741
2010,4,2010-April,23,1.345
2010,5,2010-May,20,1.654
2010,6,2010-June,17,1.864
2010,7,2010-July,7,0.785
2010,12,2010-December,7,0.482
2010,1,2010-January,1,0.889
2010,1,2010-January,18,2.411
2010,3,2010-March,22,1.061
2010,4,2010-April,3,0.94
2010,5,2010-May,1,1.044
2010,5,2010-May,18,2.598
2010,11,2010-November,11,1.221
2010,12,2010-December,3,0.47
2010,1,2010-January,3,0.76
2010,1,2010-January,7,0.794
2010,6,2010-June,14,1.889
2010,7,2010-July,1,1.151
2010,8,2010-August,22,1.054
2010,9,2010-September,22,0.747
2010,10,2010-October,4,0.768
2010,3,2010-March,4,0.807
2010,3,2010-March,21,1.206
2010,5,2010-May,6,0.955
2010,6,2010-June,2,0.844
2010,7,2010-July,14,2.027
