years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,1,2010-January,25,E,4,1,24,4.167,25.001
2010,3,2010-March,25,SW,2,2,24,8.333,12.5
2010,3,2010-March,26,E,2,3,24,12.5,12.5
2010,3,2010-March,26,NE,6,1,24,4.167,50.001
2010,3,2010-March,26,S,1,1,24,4.167,4.167
2010,4,2010-April,4,E,1,2,24,8.333,8.333
2010,4,2010-April,4,NE,1,1,24,4.167,4.167
2010,4,2010-April,20,SW,3,1,24,4.167,20.833
2010,4,2010-April,21,S,3,1,24,4.167,12.5
2010,4,2010-April,23,E,1,6,24,25.0,25.0
2010,5,2010-May,2,SE,2,1,24,4.167,4.167
2010,5,2010-May,13,NE,3,2,24,8.333,12.5
2010,5,2010-May,28,SE,3,2,24,8.333,37.5
2010,5,2010-May,28,W,3,1,24,4.167,4.167
2010,6,2010-June,5,SW,1,2,24,8.333,8.333
2010,6,2010-June,16,SE,3,9,24,37.5,45.833
2010,6,2010-June,23,W,2,1,24,4.167,8.334
2010,7,2010-July,1,NE,2,3,24,12.5,16.667
2010,7,2010-July,4,NE,1,4,24,16.667,16.667
2010,7,2010-July,6,SW,2,5,24,20.833,33.333
2010,7,2010-July,17,N,2,1,24,4.167,4.167
2010,7,2010-July,27,SW,1,1,23,4.348,4.348
2010,7,2010-July,28,SW,1,1,24,4.167,4.167
2010,8,2010-August,4,N,3,1,21,4.762,4.762
2010,8,2010-August,28,W,3,2,24,8.333,12.5
2010,8,2010-August,30,E,1,5,24,20.833,20.833
2010,8,2010-August,30,NE,2,1,24,4.167,4.167
2010,8,2010-August,31,S,2,1,23,4.348,8.696
2010,9,2010-September,13,SW,1,1,21,4.762,4.762
2010,9,2010-September,14,W,2,1,11,9.091,9.091
2010,9,2010-September,15,SE,1,1,18,5.556,5.556
2010,9,2010-September,25,SE,1,1,24,4.167,4.167
2010,9,2010-September,26,SW,3,1,21,4.762,9.524
2010,10,2010-October,1,SW,1,1,24,4.167,4.167
2010,10,2010-October,10,E,2,1,17,5.882,41.176
