years,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,E,1,640,6431,9.952,9.952
2010,E,2,523,6431,8.132,18.084
2010,E,3,126,6431,1.959,20.043
2010,E,4,48,6431,0.746,20.789
2010,E,5,16,6431,0.249,21.038
2010,E,6,1,6431,0.016,21.054
2010,E,7,1,6431,0.016,21.07
2010,N,1,28,6431,0.435,0.435
2010,N,2,39,6431,0.606,1.041
2010,N,3,27,6431,0.42,1.461
2010,N,4,10,6431,0.155,1.616
2010,N,5,3,6431,0.047,1.663
2010,N,9,1,6431,0.016,1.679
2010,NE,1,438,6431,6.811,6.811
2010,NE,2,376,6431,5.847,12.658
2010,NE,3,116,6431,1.804,14.462
2010,NE,4,50,6431,0.777,15.239
2010,NE,5,11,6431,0.171,15.41
2010,NE,6,1,6431,0.016,15.426
2010,NE,7,1,6431,0.016,15.442
2010,NW,1,127,6431,1.975,1.975
2010,NW,2,112,6431,1.742,3.717
2010,NW,3,50,6431,0.777,4.494
2010,NW,4,5,6431,0.078,4.572
2010,NW,7,1,6431,0.016,4.588
2010,S,1,349,6431,5.427,5.427
2010,S,2,278,6431,4.323,9.75
2010,S,3,136,6431,2.115,11.865
2010,S,4,67,6431,1.042,12.907
2010,S,5,15,6431,0.233,13.14
2010,SE,1,430,6431,6.686,6.686
2010,SE,2,604,6431,9.392,16.078
2010,SE,3,265,6431,4.121,20.199
2010,SE,4,95,6431,1.477,21.676
2010,SE,5,35,6431,0.544,22.22
2010,SE,6,6,6431,0.093,22.313
2010,SW,1,296,6431,4.603,4.603
2010,SW,2,280,6431,4.354,8.957
2010,SW,3,152,6431,2.364,11.321
2010,SW,4,41,6431,0.638,11.959
2010,SW,5,2,6431,0.031,11.99
2010,SW,10,1,6431,0.016,12.006
2010,W,1,210,6431,3.265,3.265
2010,W,2,273,6431,4.245,7.51
2010,W,3,126,6431,1.959,9.469
2010,W,4,17,6431,0.264,9.733
2010,W,5,2,6431,0.031,9.764
