years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,1,2010-January,18,NE,2,18,674,2.671,7.27
2010,1,2010-January,19,N,1,53,661,8.018,8.018
2010,1,2010-January,24,SE,1,66,619,10.662,10.662
2010,1,2010-January,26,N,3,6,471,1.274,8.918
2010,3,2010-March,30,SW,1,48,732,6.557,6.557
2010,4,2010-April,4,SE,2,85,660,12.879,16.212
2010,4,2010-April,5,S,4,29,729,3.978,10.15
2010,4,2010-April,6,SE,6,8,654,1.223,37.766
2010,4,2010-April,7,E,3,8,673,1.189,21.991
2010,4,2010-April,10,S,1,60,628,9.554,9.554
2010,4,2010-April,12,SE,6,5,693,0.722,40.404
2010,4,2010-April,15,NE,4,2,767,0.261,12.387
2010,4,2010-April,16,W,1,16,697,2.296,2.296
2010,4,2010-April,20,N,2,12,602,1.993,8.804
2010,4,2010-April,20,SE,2,76,602,12.625,18.107
2010,4,2010-April,20,SE,4,23,602,3.821,25.915
2010,4,2010-April,22,SE,5,37,679,5.449,49.484
2010,4,2010-April,23,N,1,18,706,2.55,2.55
2010,4,2010-April,23,NW,2,8,706,1.133,4.957
2010,4,2010-April,23,SE,1,32,706,4.533,4.533
2010,4,2010-April,26,E,2,27,712,3.792,14.607
2010,4,2010-April,27,E,1,36,712,5.056,5.056
2010,4,2010-April,28,NW,1,34,635,5.354,5.354
2010,4,2010-April,29,N,2,75,600,12.5,16.167
2010,4,2010-April,29,S,1,3,600,0.5,0.5
2010,5,2010-May,1,E,3,2,775,0.258,7.225
2010,5,2010-May,2,S,1,4,778,0.514,0.514
2010,5,2010-May,6,NE,4,3,511,0.587,11.35
2010,5,2010-May,6,SW,3,50,511,9.785,13.308
2010,5,2010-May,15,NW,2,13,646,2.012,4.179
2010,5,2010-May,15,S,5,24,646,3.715,10.526
2010,5,2010-May,19,N,1,4,753,0.531,0.531
2010,5,2010-May,19,NW,2,3,753,0.398,0.796
2010,5,2010-May,25,SW,2,139,711,19.55,22.644
2010,5,2010-May,30,NW,4,1,675,0.148,5.333
2010,5,2010-May,31,NW,2,31,698,4.441,6.733
2010,5,2010-May,31,SE,1,18,698,2.579,2.579
2010,6,2010-June,5,N,1,15,705,2.128,2.128
2010,6,2010-June,10,E,3,6,679,0.884,15.464
2010,6,2010-June,16,NW,1,7,678,1.032,1.032
2010,6,2010-June,17,SE,2,85,633,13.428,18.325
2010,6,2010-June,20,E,3,11,634,1.735,9.464
2010,6,2010-June,20,E,4,2,634,0.315,9.779
2010,6,2010-June,21,S,4,26,638,4.075,11.599
2010,6,2010-June,22,E,1,90,736,12.228,12.228
2010,6,2010-June,23,SE,3,5,603,0.829,11.277
2010,6,2010-June,29,N,2,82,606,13.531,17.656
2010,6,2010-June,30,W,1,29,673,4.309,4.309
2010,7,2010-July,1,SW,4,3,799,0.375,34.167
2010,7,2010-July,3,E,3,15,639,2.347,17.684
2010,7,2010-July,3,SW,1,11,639,1.721,1.721
2010,7,2010-July,4,NE,1,88,741,11.876,11.876
2010,7,2010-July,5,NW,2,10,658,1.52,4.711
2010,7,2010-July,13,NW,1,29,463,6.263,6.263
2010,7,2010-July,14,SE,2,145,620,23.387,23.387
2010,7,2010-July,19,SE,1,3,418,0.718,0.718
2010,7,2010-July,21,S,4,3,658,0.456,7.143
2010,7,2010-July,26,N,6,1,424,0.236,23.585
2010,8,2010-August,2,SE,2,18,751,2.397,4.794
2010,8,2010-August,3,NW,5,1,684,0.146,15.351
2010,8,2010-August,8,SE,2,52,355,14.648,16.056
2010,8,2010-August,14,N,1,19,427,4.45,4.45
2010,8,2010-August,14,N,3,8,427,1.874,19.205
2010,8,2010-August,18,S,3,8,627,1.276,2.551
2010,8,2010-August,23,E,3,18,782,2.302,35.039
2010,8,2010-August,27,S,4,1,750,0.133,10.666
2010,8,2010-August,31,SW,5,29,619,4.685,30.21
2010,9,2010-September,3,NE,3,12,650,1.846,17.384
2010,9,2010-September,8,W,2,30,819,3.663,5.372
2010,9,2010-September,9,SE,2,68,777,8.752,11.97
2010,9,2010-September,9,SE,5,8,777,1.03,19.564
2010,9,2010-September,10,SW,3,9,757,1.189,3.302
2010,9,2010-September,11,S,2,13,671,1.937,9.389
2010,9,2010-September,13,E,1,43,549,7.832,7.832
2010,9,2010-September,14,SE,4,6,281,2.135,11.387
2010,9,2010-September,17,NE,3,17,754,2.255,34.749
2010,9,2010-September,17,SW,3,79,754,10.477,23.607
2010,9,2010-September,19,SE,2,56,579,9.672,10.363
2010,9,2010-September,21,SE,3,1,672,0.149,2.827
2010,9,2010-September,22,E,1,50,559,8.945,8.945
2010,9,2010-September,22,N,1,72,559,12.88,12.88
2010,9,2010-September,23,NE,3,6,507,1.183,7.494
2010,9,2010-September,26,S,2,30,578,5.19,8.304
2010,9,2010-September,30,NE,3,5,605,0.826,19.834
2010,9,2010-September,30,SE,3,2,605,0.331,1.819
2010,10,2010-October,2,S,1,21,654,3.211,3.211
2010,10,2010-October,3,SE,1,18,617,2.917,2.917
2010,10,2010-October,8,S,2,23,414,5.556,7.971
2010,10,2010-October,9,N,2,75,544,13.787,18.934
2010,10,2010-October,16,SW,4,1,395,0.253,4.81
2010,10,2010-October,25,SW,2,8,538,1.487,2.788
2010,10,2010-October,27,SE,4,3,328,0.915,14.94
2010,10,2010-October,29,W,1,12,469,2.559,2.559
2010,10,2010-October,31,NW,2,13,560,2.321,5.535
2010,11,2010-November,3,S,1,29,433,6.697,6.697
2010,11,2010-November,5,NW,2,18,619,2.908,12.278
2010,11,2010-November,9,NW,2,4,408,0.98,6.372
2010,11,2010-November,13,E,4,2,579,0.345,28.669
2010,11,2010-November,14,NE,3,74,647,11.437,30.911
2010,11,2010-November,17,SE,3,1,632,0.158,11.709
2010,11,2010-November,20,NW,3,1,567,0.176,6.172
2010,11,2010-November,24,S,1,17,486,3.498,3.498
2010,11,2010-November,25,NE,5,1,562,0.178,39.147
2010,11,2010-November,30,N,4,15,660,2.273,46.364
2010,12,2010-December,3,E,2,22,523,4.207,10.899
2010,12,2010-December,3,N,4,1,523,0.191,40.153
2010,12,2010-December,3,SE,2,4,523,0.765,2.868
2010,12,2010-December,12,E,1,36,615,5.854,5.854
2010,12,2010-December,15,NW,1,39,671,5.812,5.812
2010,12,2010-December,18,NE,1,4,338,1.183,1.183
2010,12,2010-December,20,N,2,4,350,1.143,9.714
2010,12,2010-December,21,E,1,66,687,9.607,9.607
2010,12,2010-December,24,N,3,16,722,2.216,24.377
2010,12,2010-December,24,NE,4,8,722,1.108,32.825
2010,12,2010-December,25,N,3,6,428,1.402,25.0
2010,1,2010-January,16,E,3,5,340,1.471,2.942
2010,1,2010-January,18,NW,1,93,674,13.798,13.798
2010,1,2010-January,18,SE,1,21,674,3.116,3.116
2010,1,2010-January,22,E,2,10,647,1.546,5.255
2010,1,2010-January,26,NE,2,4,471,0.849,6.581
2010,3,2010-March,30,N,1,64,732,8.743,8.743
2010,3,2010-March,30,N,5,4,732,0.546,14.207
2010,4,2010-April,1,N,2,23,635,3.622,14.173
2010,4,2010-April,1,SE,4,11,635,1.732,32.126
2010,4,2010-April,3,NW,1,32,578,5.536,5.536
2010,4,2010-April,3,SE,3,14,578,2.422,8.65
2010,4,2010-April,7,W,3,11,673,1.634,9.064
2010,4,2010-April,9,SE,5,2,734,0.272,28.337
2010,4,2010-April,10,E,1,49,628,7.803,7.803
2010,4,2010-April,13,E,5,11,598,1.839,24.916
2010,4,2010-April,18,E,2,78,649,12.018,24.807
2010,4,2010-April,25,SE,2,221,662,33.384,43.052
2010,4,2010-April,28,E,1,31,635,4.882,4.882
2010,4,2010-April,30,SW,1,2,674,0.297,0.297
2010,5,2010-May,1,NW,2,50,775,6.452,8.904
2010,5,2010-May,1,S,1,2,775,0.258,0.258
2010,5,2010-May,1,SW,2,35,775,4.516,5.935
2010,5,2010-May,3,N,2,52,701,7.418,14.551
2010,5,2010-May,4,S,3,118,693,17.027,27.561
2010,5,2010-May,10,E,2,35,719,4.868,16.134
2010,5,2010-May,12,SW,2,4,658,0.608,1.064
2010,5,2010-May,14,NW,2,8,640,1.25,10.469
2010,5,2010-May,15,NE,1,91,646,14.087,14.087
2010,5,2010-May,16,NE,3,2,622,0.322,16.077
2010,5,2010-May,16,S,4,37,622,5.949,17.524
2010,5,2010-May,22,NW,4,5,703,0.711,10.81
2010,5,2010-May,26,E,3,4,720,0.556,11.112
2010,5,2010-May,28,NE,2,92,686,13.411,15.598
2010,5,2010-May,29,E,3,3,700,0.429,16.0
2010,5,2010-May,30,SW,5,1,675,0.148,18.222
2010,5,2010-May,31,N,1,27,698,3.868,3.868
2010,5,2010-May,31,SW,3,22,698,3.152,9.313
2010,6,2010-June,1,NW,3,8,717,1.116,4.742
2010,6,2010-June,2,SW,2,13,784,1.658,3.316
2010,6,2010-June,4,NW,5,1,710,0.141,4.366
2010,6,2010-June,4,SE,1,19,710,2.676,2.676
2010,6,2010-June,5,E,1,142,705,20.142,20.142
2010,6,2010-June,7,SE,1,8,734,1.09,1.09
2010,6,2010-June,11,SE,1,38,679,5.596,5.596
2010,6,2010-June,11,SE,2,24,679,3.535,9.131
2010,6,2010-June,13,NW,4,4,692,0.578,5.058
2010,6,2010-June,13,S,3,6,692,0.867,5.058
2010,6,2010-June,13,SW,1,13,692,1.879,1.879
2010,6,2010-June,14,W,3,7,599,1.169,3.84
2010,6,2010-June,16,E,4,2,678,0.295,25.074
2010,6,2010-June,18,SE,3,36,611,5.892,22.586
2010,6,2010-June,19,N,2,17,678,2.507,11.209
2010,6,2010-June,20,SW,2,5,634,0.789,3.47
2010,6,2010-June,26,NW,1,12,713,1.683,1.683
2010,6,2010-June,26,SW,1,42,713,5.891,5.891
2010,6,2010-June,27,N,1,57,722,7.895,7.895
2010,6,2010-June,27,N,4,1,722,0.139,12.19
2010,6,2010-June,30,E,2,72,673,10.698,18.573
2010,7,2010-July,1,E,1,89,799,11.139,11.139
2010,7,2010-July,4,S,1,8,741,1.08,1.08
2010,7,2010-July,5,N,4,3,658,0.456,14.438
2010,7,2010-July,7,E,6,1,568,0.176,3.521
2010,7,2010-July,7,NW,3,1,568,0.176,7.571
2010,7,2010-July,10,NW,2,35,767,4.563,6.388
2010,7,2010-July,11,SE,3,11,663,1.659,9.503
2010,7,2010-July,12,N,4,8,320,2.5,7.188
2010,7,2010-July,13,SE,1,33,463,7.127,7.127
2010,7,2010-July,13,SW,1,10,463,2.16,2.16
2010,7,2010-July,15,SE,1,4,452,0.885,0.885
2010,7,2010-July,18,S,1,40,440,9.091,9.091
2010,7,2010-July,19,E,6,2,418,0.478,1.913
2010,7,2010-July,19,SE,5,45,418,10.766,61.006
2010,7,2010-July,20,SW,4,1,766,0.131,5.353
2010,7,2010-July,23,NE,2,9,491,1.833,17.515
2010,7,2010-July,24,N,3,3,467,0.642,7.708
2010,7,2010-July,25,E,3,10,740,1.351,38.648
2010,7,2010-July,29,N,2,47,663,7.089,15.385
2010,8,2010-August,5,E,2,129,766,16.841,30.026
2010,8,2010-August,6,SW,5,1,727,0.138,38.102
2010,8,2010-August,7,SW,3,62,379,16.359,25.858
2010,8,2010-August,13,SE,2,16,668,2.395,3.593
2010,8,2010-August,16,NW,3,4,537,0.745,20.671
2010,8,2010-August,16,SW,1,34,537,6.331,6.331
2010,8,2010-August,28,N,1,15,716,2.095,2.095
2010,8,2010-August,30,W,5,12,713,1.683,8.696
2010,8,2010-August,31,SW,1,21,619,3.393,3.393
2010,9,2010-September,1,SE,3,2,399,0.501,2.255
2010,9,2010-September,6,S,2,17,557,3.052,3.591
2010,9,2010-September,12,NE,2,52,597,8.71,19.765
2010,9,2010-September,12,S,2,3,597,0.503,5.528
2010,9,2010-September,15,S,4,2,526,0.38,4.943
2010,9,2010-September,16,NW,2,6,460,1.304,1.304
2010,9,2010-September,17,N,2,16,754,2.122,6.366
2010,9,2010-September,21,SW,2,4,672,0.595,1.041
2010,9,2010-September,26,N,3,2,578,0.346,14.359
2010,9,2010-September,26,SE,2,30,578,5.19,11.072
2010,9,2010-September,28,SE,2,13,636,2.044,8.019
2010,9,2010-September,30,W,2,1,605,0.165,3.305
2010,10,2010-October,1,NE,3,1,557,0.18,10.773
2010,10,2010-October,1,SE,1,67,557,12.029,12.029
2010,10,2010-October,1,W,2,1,557,0.18,5.386
2010,10,2010-October,2,E,2,4,654,0.612,3.823
2010,10,2010-October,5,NE,1,95,652,14.571,14.571
2010,10,2010-October,9,S,3,9,544,1.654,4.595
2010,10,2010-October,10,N,1,51,431,11.833,11.833
2010,10,2010-October,10,N,3,47,431,10.905,23.898
2010,10,2010-October,10,NE,2,17,431,3.944,20.881
2010,10,2010-October,13,N,2,38,451,8.426,31.042
2010,10,2010-October,15,E,2,36,664,5.422,11.446
2010,10,2010-October,15,E,3,3,664,0.452,11.898
2010,10,2010-October,16,W,3,5,395,1.266,8.608
2010,10,2010-October,17,W,1,9,261,3.448,3.448
2010,10,2010-October,19,SE,7,1,232,0.431,80.603
2010,10,2010-October,21,SE,3,239,558,42.832,51.614
2010,10,2010-October,26,SE,3,9,392,2.296,9.949
2010,10,2010-October,27,S,5,2,328,0.61,9.756
2010,11,2010-November,5,W,1,23,619,3.716,3.716
2010,11,2010-November,8,SW,2,22,770,2.857,3.896
2010,11,2010-November,15,NW,2,10,699,1.431,7.583
2010,11,2010-November,16,NE,1,75,646,11.61,11.61
2010,11,2010-November,16,SW,1,42,646,6.502,6.502
2010,11,2010-November,17,N,1,32,632,5.063,5.063
2010,11,2010-November,19,NE,1,56,549,10.2,10.2
2010,11,2010-November,20,NE,2,22,567,3.88,18.342
2010,11,2010-November,21,S,1,23,663,3.469,3.469
2010,11,2010-November,23,SW,1,22,407,5.405,5.405
2010,11,2010-November,26,NW,1,38,457,8.315,8.315
2010,11,2010-November,27,NE,2,8,617,1.297,6.483
2010,11,2010-November,27,NE,5,3,617,0.486,16.207
2010,11,2010-November,27,W,2,3,617,0.486,7.941
2010,11,2010-November,28,SE,2,8,709,1.128,3.103
2010,11,2010-November,29,S,2,4,405,0.988,3.951
2010,12,2010-December,2,NE,4,6,642,0.935,23.832
2010,12,2010-December,4,NE,4,2,523,0.382,9.942
2010,12,2010-December,4,NW,3,7,523,1.338,17.017
2010,12,2010-December,8,NE,2,14,599,2.337,4.006
2010,12,2010-December,12,S,1,12,615,1.951,1.951
2010,12,2010-December,16,S,2,15,456,3.289,7.236
2010,12,2010-December,18,S,3,8,338,2.367,14.793
2010,12,2010-December,22,N,3,4,621,0.644,9.34
2010,12,2010-December,23,W,2,3,676,0.444,1.48
2010,12,2010-December,27,E,1,38,695,5.468,5.468
2010,12,2010-December,31,N,4,7,414,1.691,6.281
2010,12,2010-December,31,W,1,17,414,4.106,4.106
2010,1,2010-January,19,E,2,34,661,5.144,8.472
2010,1,2010-January,25,N,4,5,729,0.686,16.05
2010,1,2010-January,26,NE,1,27,471,5.732,5.732
2010,1,2010-January,26,S,1,39,471,8.28,8.28
2010,3,2010-March,24,SE,3,25,176,14.205,33.523
2010,3,2010-March,25,E,1,48,719,6.676,6.676
2010,3,2010-March,25,NW,1,13,719,1.808,1.808
2010,4,2010-April,1,N,1,67,635,10.551,10.551
2010,4,2010-April,3,E,3,69,578,11.938,24.913
2010,4,2010-April,7,S,2,1,673,0.149,0.149
2010,4,2010-April,12,N,3,1,693,0.144,15.584
2010,4,2010-April,12,NW,1,15,693,2.165,2.165
2010,4,2010-April,13,S,5,3,598,0.502,8.195
2010,4,2010-April,15,W,2,9,767,1.173,3.259
2010,4,2010-April,26,E,3,4,712,0.562,15.169
2010,4,2010-April,28,NE,3,1,635,0.157,11.811
