years,months,year_month,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,3,2010-March,N,2,284,5032,5.644,10.254
2010,4,2010-April,SE,4,720,19854,3.626,26.0
2010,6,2010-June,N,4,47,20423,0.23,11.08
2010,6,2010-June,N,5,18,20423,0.088,11.168
2010,6,2010-June,N,8,1,20423,0.005,11.193
2010,7,2010-July,E,3,224,18688,1.199,18.413
2010,7,2010-July,SW,1,521,18688,2.788,2.788
2010,8,2010-August,E,6,1,18782,0.005,17.261
2010,8,2010-August,N,7,2,18782,0.011,14.03
2010,8,2010-August,NE,3,102,18782,0.543,17.432
2010,9,2010-September,SW,3,618,18779,3.291,10.347
2010,10,2010-October,NW,1,585,14573,4.014,4.014
2010,11,2010-November,NE,7,2,16462,0.012,21.911
2010,1,2010-January,SE,3,230,6888,3.339,15.636
2010,4,2010-April,NE,1,1585,19854,7.983,7.983
2010,4,2010-April,NW,1,646,19854,3.254,3.254
2010,4,2010-April,SE,3,1347,19854,6.785,22.374
2010,6,2010-June,S,3,224,20423,1.097,6.454
2010,7,2010-July,E,8,5,18688,0.027,18.959
2010,7,2010-July,NE,6,5,18688,0.027,18.118
2010,7,2010-July,S,1,375,18688,2.007,2.007
2010,10,2010-October,S,3,230,14573,1.578,8.42
2010,1,2010-January,E,6,7,6888,0.102,15.708
2010,1,2010-January,NE,1,318,6888,4.617,4.617
2010,1,2010-January,SW,1,383,6888,5.56,5.56
2010,4,2010-April,S,2,654,19854,3.294,6.11
2010,4,2010-April,SE,1,1025,19854,5.163,5.163
2010,7,2010-July,N,1,934,18688,4.998,4.998
2010,7,2010-July,NE,2,1601,18688,8.567,16.786
2010,8,2010-August,N,1,685,18782,3.647,3.647
2010,8,2010-August,SW,2,733,18782,3.903,5.548
2010,9,2010-September,N,7,2,18779,0.011,14.495
2010,9,2010-September,S,1,562,18779,2.993,2.993
2010,10,2010-October,E,5,5,14573,0.034,12.804
2010,10,2010-October,SW,1,398,14573,2.731,2.731
2010,1,2010-January,N,5,65,6888,0.944,22.562
2010,1,2010-January,SE,1,332,6888,4.82,4.82
2010,3,2010-March,SE,2,240,5032,4.769,8.525
2010,4,2010-April,N,5,13,19854,0.065,9.438
2010,4,2010-April,SE,2,2070,19854,10.426,15.589
2010,4,2010-April,W,4,1,19854,0.005,4.608
2010,7,2010-July,NE,4,24,18688,0.128,18.07
2010,7,2010-July,SW,3,300,18688,1.605,7.154
2010,9,2010-September,E,4,6,18779,0.032,19.079
2010,9,2010-September,NE,4,57,18779,0.304,19.566
2010,10,2010-October,SE,7,1,14573,0.007,18.199
2010,11,2010-November,N,1,1669,16462,10.139,10.139
2010,12,2010-December,NW,1,1448,16736,8.652,8.652
2010,4,2010-April,S,1,559,19854,2.816,2.816
2010,6,2010-June,N,2,788,20423,3.858,9.616
2010,6,2010-June,W,4,40,20423,0.196,8.471
2010,7,2010-July,N,8,9,18688,0.048,15.073
2010,7,2010-July,SE,3,825,18688,4.415,15.31
2010,9,2010-September,NW,3,90,18779,0.479,6.566
2010,12,2010-December,SW,1,649,16736,3.878,3.878
2010,1,2010-January,NE,4,118,6888,1.713,12.761
2010,1,2010-January,W,2,92,6888,1.336,8.247
2010,5,2010-May,N,3,161,21487,0.749,7.567
2010,5,2010-May,N,5,7,21487,0.033,7.67
2010,5,2010-May,SW,1,414,21487,1.927,1.927
2010,6,2010-June,SW,6,1,20423,0.005,8.956
2010,9,2010-September,E,2,1684,18779,8.967,18.259
2010,10,2010-October,NW,3,158,14573,1.084,7.603
2010,10,2010-October,S,2,349,14573,2.395,6.842
2010,10,2010-October,SW,2,242,14573,1.661,4.392
2010,12,2010-December,N,5,36,16736,0.215,21.892
2010,4,2010-April,E,2,1173,19854,5.908,13.388
2010,5,2010-May,NW,4,29,21487,0.135,4.398
2010,6,2010-June,NE,1,2433,20423,11.913,11.913
2010,6,2010-June,S,2,474,20423,2.321,5.357
2010,7,2010-July,NW,1,518,18688,2.772,2.772
2010,8,2010-August,S,6,1,18782,0.005,7.518
2010,9,2010-September,SE,7,4,18779,0.021,12.568
2010,11,2010-November,NW,2,544,16462,3.305,10.188
2010,4,2010-April,NW,4,18,19854,0.091,5.174
2010,5,2010-May,S,6,17,21487,0.079,11.946
2010,5,2010-May,SE,2,2149,21487,10.001,14.827
2010,8,2010-August,NW,3,317,18782,1.688,7.502
2010,10,2010-October,N,4,70,14573,0.48,18.005
2010,11,2010-November,N,4,116,16462,0.705,25.818
2010,11,2010-November,W,1,725,16462,4.404,4.404
2010,12,2010-December,NE,4,268,16736,1.601,23.207
2010,3,2010-March,S,3,72,5032,1.431,7.83
2010,5,2010-May,E,4,113,21487,0.526,18.012
2010,5,2010-May,W,5,9,21487,0.042,8.903
2010,6,2010-June,SE,1,890,20423,4.358,4.358
2010,7,2010-July,NE,1,1536,18688,8.219,8.219
2010,8,2010-August,E,4,19,18782,0.101,17.245
2010,9,2010-September,SE,4,100,18779,0.533,12.467
2010,9,2010-September,W,1,686,18779,3.653,3.653
2010,10,2010-October,SE,6,25,14573,0.172,18.192
2010,1,2010-January,N,3,449,6888,6.519,19.774
2010,1,2010-January,NE,7,1,6888,0.015,14.46
2010,5,2010-May,W,3,638,21487,2.969,7.902
2010,8,2010-August,SE,4,28,18782,0.149,12.603
2010,8,2010-August,W,4,141,18782,0.751,9.872
2010,9,2010-September,W,3,392,18779,2.087,9.441
2010,10,2010-October,W,4,9,14573,0.062,6.704
2010,11,2010-November,W,2,320,16462,1.944,6.348
2010,12,2010-December,W,1,901,16736,5.384,5.384
2010,1,2010-January,SW,3,21,6888,0.305,6.475
2010,4,2010-April,NE,3,227,19854,1.143,13.12
2010,5,2010-May,NE,4,55,21487,0.256,14.855
2010,5,2010-May,SE,7,3,21487,0.014,23.354
2010,6,2010-June,E,5,5,20423,0.024,22.503
2010,8,2010-August,S,2,604,18782,3.216,5.495
