years,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,S,7,9,177704,0.005,8.062
2010,SW,3,3603,177704,2.028,7.464
2010,SW,2,4461,177704,2.51,5.436
2010,SE,8,1,177704,0.001,16.855
2010,S,2,4144,177704,2.332,5.473
2010,S,3,2767,177704,1.557,7.03
2010,E,3,2647,177704,1.49,16.849
2010,E,7,31,177704,0.017,17.603
2010,N,8,11,177704,0.006,15.072
2010,N,11,3,177704,0.002,15.089
2010,SE,5,852,177704,0.479,16.735
2010,NW,7,2,177704,0.001,7.646
2010,SW,6,8,177704,0.005,7.997
2010,NE,8,3,177704,0.002,18.888
2010,S,5,481,177704,0.271,8.022
2010,SE,2,12485,177704,7.026,11.421
2010,W,5,41,177704,0.023,7.851
2010,NE,3,3192,177704,1.796,18.07
2010,NW,2,4798,177704,2.7,6.704
2010,NE,2,12579,177704,7.079,16.274
2010,W,6,5,177704,0.003,7.854
2010,NW,8,1,177704,0.001,7.647
2010,E,1,14647,177704,8.242,8.242
2010,N,10,7,177704,0.004,15.087
2010,S,6,63,177704,0.035,8.057
2010,SE,4,2165,177704,1.218,16.256
2010,NW,1,7116,177704,4.004,4.004
2010,N,1,10859,177704,6.111,6.111
2010,SW,5,155,177704,0.087,7.992
2010,NE,6,66,177704,0.037,18.88
2010,NE,11,1,177704,0.001,18.891
2010,S,4,1282,177704,0.721,7.751
2010,SW,1,5199,177704,2.926,2.926
2010,E,4,944,177704,0.531,17.38
2010,NE,9,1,177704,0.001,18.889
2010,SE,6,193,177704,0.109,16.844
2010,N,9,19,177704,0.011,15.083
2010,S,1,5581,177704,3.141,3.141
2010,E,2,12647,177704,7.117,15.359
2010,NW,9,4,177704,0.002,7.649
2010,SE,1,7810,177704,4.395,4.395
2010,E,8,5,177704,0.003,17.606
2010,NW,4,176,177704,0.099,7.625
2010,SW,4,783,177704,0.441,7.905
2010,N,2,10533,177704,5.927,12.038
2010,N,12,1,177704,0.001,15.09
2010,N,4,820,177704,0.461,14.893
2010,NE,10,1,177704,0.001,18.89
2010,NW,3,1460,177704,0.822,7.526
2010,E,6,71,177704,0.04,17.586
2010,N,6,51,177704,0.029,15.059
2010,NW,6,10,177704,0.006,7.645
2010,NE,1,16339,177704,9.195,9.195
2010,W,3,2801,177704,1.576,7.575
2010,E,5,295,177704,0.166,17.546
2010,N,7,13,177704,0.007,15.066
2010,NE,7,10,177704,0.006,18.886
2010,NW,5,24,177704,0.014,7.639
2010,W,1,5947,177704,3.347,3.347
2010,W,4,450,177704,0.253,7.828
2010,N,5,244,177704,0.137,15.03
2010,NE,5,324,177704,0.182,18.843
2010,SE,7,17,177704,0.01,16.854
2010,W,2,4712,177704,2.652,5.999
2010,SE,3,6428,177704,3.617,15.038
2010,N,3,4255,177704,2.394,14.432
2010,NE,4,1051,177704,0.591,18.661
