years,months,year_month,wind_shear,speed_at_turbine,power_curve,f_v
2010,1,2010-January,1.796,0.5,0,0.2291083217387179
2010,1,2010-January,1.796,19.5,109,5.859349868365159e-40
2010,1,2010-January,1.796,23.5,104,4.5779606275699244e-58
2010,4,2010-April,1.9424,13.5,95,1.8762815195915725e-16
2010,6,2010-June,1.4069,14.5,100,6.755793540389207e-36
2010,9,2010-September,1.2736,16.0,105,2.2763493400160193e-53
2010,9,2010-September,1.2736,17.5,109,6.750573421087364e-64
2010,10,2010-October,1.0948,13.0,92,1.3719777142265504e-47
2010,10,2010-October,1.0948,20.5,109,6.829564758562866e-119
2010,11,2010-November,1.0167,18.5,109,3.2584405841251385e-112
2010,11,2010-November,1.0167,22.0,107,6.508724370193106e-159
2011,1,2011-January,0.0,24.5,102,0.0
2010,3,2010-March,1.6367,15.0,102,1.9709430869551318e-28
2010,4,2010-April,1.9424,23.0,105,1.4336412132117083e-47
2010,5,2010-May,1.7559,17.5,109,1.1737793983475819e-33
2010,5,2010-May,1.7559,24.0,103,2.3131234260092774e-63
2010,6,2010-June,1.4069,25.0,102,3.9313866600145983e-107
2010,8,2010-August,1.472,4.0,0,0.008783184245293306
2010,9,2010-September,1.2736,6.5,19,8.21164250625512e-09
2010,10,2010-October,1.0948,19.5,109,1.5699292185855928e-107
2010,12,2010-December,1.0221,2.5,0,0.03423168138222944
2010,1,2010-January,1.796,13.0,92,8.520717522904322e-18
2010,1,2010-January,1.796,17.5,109,3.515711706418692e-32
2010,3,2010-March,1.6367,5.0,5,0.0019224849615402688
2010,3,2010-March,1.6367,6.5,19,1.5897800967169208e-05
2010,3,2010-March,1.6367,23.5,104,6.6130339071524e-70
2010,6,2010-June,1.4069,20.5,109,6.192391013197834e-72
2010,9,2010-September,1.2736,11.5,80,1.724143307240584e-27
2010,10,2010-October,1.0948,2.0,0,0.1906161377917515
2010,11,2010-November,1.0167,6.0,13,1.2038714477911157e-11
2010,12,2010-December,1.0221,1.5,0,0.41552025945521504
2010,3,2010-March,1.6367,4.0,0,0.021524689420992425
2010,3,2010-March,1.6367,17.0,108,1.5842091121529726e-36
2010,3,2010-March,1.6367,20.5,109,3.7055393451098156e-53
2010,3,2010-March,1.6367,25.0,102,3.836211906423772e-79
2010,4,2010-April,1.9424,15.0,102,2.8457880782193304e-20
2010,6,2010-June,1.4069,9.5,59,2.1135163116529156e-15
2010,7,2010-July,1.4774,14.0,97,2.3668083117060716e-30
2010,8,2010-August,1.472,11.0,76,7.1439023829181135e-19
2010,9,2010-September,1.2736,19.5,109,2.0665908328769176e-79
2010,11,2010-November,1.0167,15.0,102,1.2946934540035705e-73
2010,12,2010-December,1.0221,9.0,53,4.8374667415823744e-26
2011,1,2011-January,0.0,18.5,109,0.0
2010,1,2010-January,1.796,23.0,105,1.2879909876133917e-55
2010,3,2010-March,1.6367,3.0,0,0.12569529206243235
2010,5,2010-May,1.7559,0.5,0,0.2390191590091784
2010,5,2010-May,1.7559,4.0,0,0.034601369620451065
2010,5,2010-May,1.7559,16.0,105,3.889089760715379e-28
2010,6,2010-June,1.4069,2.5,0,0.1661512258292086
2010,6,2010-June,1.4069,5.0,5,0.0001951838658275383
2010,6,2010-June,1.4069,10.0,65,4.6463871229494214e-17
2010,6,2010-June,1.4069,12.0,84,1.4588354404965901e-24
2010,7,2010-July,1.4774,2.5,0,0.18983260999311563
2010,7,2010-July,1.4774,10.0,65,1.6983908760168062e-15
2010,8,2010-August,1.472,16.5,107,1.6608292401366672e-42
2010,10,2010-October,1.0948,0.5,0,0.5562567122169166
2010,11,2010-November,1.0167,14.5,100,9.218475129709089e-69
2010,12,2010-December,1.0221,22.5,106,1.7261578510728747e-164
2010,1,2010-January,1.796,4.0,0,0.039595026100894985
